"rt","response","question_order","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","experimentSource","subjectId","consent_screen_data","success","timeout","failed_images","failed_audio","failed_video","stimulus","experiment_introduction_data","practice_instructions_data","block_number","spacebar_screen_presented_timestamp","spacebar_pressed_timestamp","video_start_timestamp","response_timestamp","Trial Type","Block Number","Trial Number","Stimulus Number","Stimulus Character","Original Filename","Obfuscated Filename","Response Character","Response Classification","Trial Presented Timestamp","Begin Stimulus Key Press Timestamp","Stimulus Video Started Timestamp","Subject Response Timestamp","Stimulus Video Completed Timestamp","Pre Stimulus Video Wait Time","Time Between Key Press and Video Start","Response Time","Time After Video End Before Decision Made","Total Trial Time","practice_complete_data","practice_trials_data","actual_trials_introduction_data","break_screen_data","actual_trials_data","actual_trials_complete_data","questionnaires_intro_screen_data","tellegen_scores","tellegen_total","tellegen_questions","tellegen_responses_data","stimulus_map_data","closing_screen_data"
"25377","{""Q0"":""Prolific""}","[0]","survey-multi-choice","0","25378","0.0-0.0","1","1","2026-02-24 06:00:14","3e9300109388e70555e79decfadaaa35","24.14.174.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","WebKit","Chrome","145.0.0.0","Windows","10.0","https://ocyzhljrt7.cognition.run/editor","en-US,en;q=0.9","Prolific","hjk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1179","{""Q0"":""hjk""}","","survey-text","1","26558","0.0-1.0","1","1","2026-02-24 06:00:14","3e9300109388e70555e79decfadaaa35","24.14.174.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","WebKit","Chrome","145.0.0.0","Windows","10.0","https://ocyzhljrt7.cognition.run/editor","en-US,en;q=0.9","Prolific","hjk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1569","{""Q0"":""I consent to participate in this study""}","[0]","survey-multi-choice","2","28128","0.0-2.0","1","1","2026-02-24 06:00:14","3e9300109388e70555e79decfadaaa35","24.14.174.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","WebKit","Chrome","145.0.0.0","Windows","10.0","https://ocyzhljrt7.cognition.run/editor","en-US,en;q=0.9","Prolific","hjk","{""consent"":true,""consent_timestamp"":28662.800000071526}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","29410","0.0-4.0","1","1","2026-02-24 06:00:14","3e9300109388e70555e79decfadaaa35","24.14.174.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","WebKit","Chrome","145.0.0.0","Windows","10.0","https://ocyzhljrt7.cognition.run/editor","en-US,en;q=0.9","Prolific","hjk","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"882"," ","","html-keyboard-response","4","30292","0.0-5.0","1","1","2026-02-24 06:00:14","3e9300109388e70555e79decfadaaa35","24.14.174.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","WebKit","Chrome","145.0.0.0","Windows","10.0","https://ocyzhljrt7.cognition.run/editor","en-US,en;q=0.9","Prolific","hjk","","","","","","","<div style=""max-width:50rem; margin:0 auto; text-align:left;""><h2>Instructions</h2><p>In this experiment you will watch a series of short videos that gradually progress from static toward one of two letters, either an <strong>S</strong> or an <strong>X</strong>.</p><p>Your task is to identify which letter the video is progressing towards and press the corresponding key as quickly as possible.</p><p>Faster correct responses improve your performance score; performance influences your odds to win a raffle for an Amazon gift card.</p><p>Press <strong>space</strong> to continue.</p></div>","{""time_on_screen"":882,""start_timestamp"":29944.700000047684,""end_timestamp"":30826.700000047684}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2135","k","","html-keyboard-response","5","32428","0.0-6.0","1","1","2026-02-24 06:00:14","3e9300109388e70555e79decfadaaa35","24.14.174.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","WebKit","Chrome","145.0.0.0","Windows","10.0","https://ocyzhljrt7.cognition.run/editor","en-US,en;q=0.9","Prolific","hjk","","","","","","","<div style=""max-width:50rem; margin:0 auto; text-align:left;""><h2>Practice Examples</h2><p>As a reminder: you will watch a series of short videos that gradually progress from static toward one of two letters, either an <strong>S</strong> or an <strong>X</strong>.</p><p>Your task is to identify which letter the video is progressing towards and press the corresponding key as quickly as possible.</p><p>Faster correct responses improve your performance score; performance influences your odds to win a raffle for an Amazon gift card.</p><p>You will now complete <strong>10</strong> practice trials so you can get used to the task.</p><p>Press <strong>k</strong> to begin the practice trials.</p></div>","","{""time_on_screen"":2135,""start_timestamp"":30827.700000047684,""end_timestamp"":32962.700000047684}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1104"," ","","html-keyboard-response","6","33532","0.0-7.0-0.0","1","1","2026-02-24 06:00:14","3e9300109388e70555e79decfadaaa35","24.14.174.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","WebKit","Chrome","145.0.0.0","Windows","10.0","https://ocyzhljrt7.cognition.run/editor","en-US,en;q=0.9","Prolific","hjk","","","","","","","<div style=""position:fixed; top:0; left:0; width:100vw; height:100vh; display:flex; align-items:center; justify-content:center; background:#f8f7f5;""><div style=""background:#fff; padding:2rem 3rem; border-radius:8px; border:1px solid #e0ddd8; box-shadow:0 2px 12px rgba(0,0,0,0.06); text-align:center;""><p style=""font-size:1.3rem; margin:0; color:#444;"">Press <strong style=""color:#800000;"">space</strong> to start the video</p></div></div>","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","null","","html-keyboard-response","7","35033","0.0-7.0-1.0","1","1","2026-02-24 06:00:14","3e9300109388e70555e79decfadaaa35","24.14.174.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","WebKit","Chrome","145.0.0.0","Windows","10.0","https://ocyzhljrt7.cognition.run/editor","en-US,en;q=0.9","Prolific","hjk","","","","","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2682","s","","video-keyboard-response","8","37715","0.0-7.0-2.0","1","1","2026-02-24 06:00:14","3e9300109388e70555e79decfadaaa35","24.14.174.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","WebKit","Chrome","145.0.0.0","Windows","10.0","https://ocyzhljrt7.cognition.run/editor","en-US,en;q=0.9","Prolific","hjk","","","","","","","[""29c21eaa5bcbb7f0.mp4""]","","","null","32963.10000002384","34067","35568","38251.300000071526","practice","null","1","102","S","S_102.mp4","29c21eaa5bcbb7f0.mp4","S","true_positive","32963.10000002384","34067","35568","38251.300000071526","-1","1103.8999999761581","1501","2683.3000000715256","-1","5288.200000047684","","","","","","","","","","","","",""
"919"," ","","html-keyboard-response","9","38635","0.0-7.0-0.1","1","1","2026-02-24 06:00:14","3e9300109388e70555e79decfadaaa35","24.14.174.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","WebKit","Chrome","145.0.0.0","Windows","10.0","https://ocyzhljrt7.cognition.run/editor","en-US,en;q=0.9","Prolific","hjk","","","","","","","<div style=""position:fixed; top:0; left:0; width:100vw; height:100vh; display:flex; align-items:center; justify-content:center; background:#f8f7f5;""><div style=""background:#fff; padding:2rem 3rem; border-radius:8px; border:1px solid #e0ddd8; box-shadow:0 2px 12px rgba(0,0,0,0.06); text-align:center;""><p style=""font-size:1.3rem; margin:0; color:#444;"">Press <strong style=""color:#800000;"">space</strong> to start the video</p></div></div>","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","null","","html-keyboard-response","10","40136","0.0-7.0-1.1","1","1","2026-02-24 06:00:14","3e9300109388e70555e79decfadaaa35","24.14.174.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","WebKit","Chrome","145.0.0.0","Windows","10.0","https://ocyzhljrt7.cognition.run/editor","en-US,en;q=0.9","Prolific","hjk","","","","","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
